Customer_Name,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score
"Jessica Hassan",41,2,99,1,4,2,7
"Joseph Romano",477,2,99.35,3,5,2,10
"Ayumi Suzuki",723,2,99.43,4,5,2,11
"Ethan Jones",207,1,99.48,2,1,2,5
"John Martin",281,1,99.56,2,2,2,6
"John Patel",826,1,99.56,5,3,2,10
"Chen Singh",1075,1,99.69,5,4,2,11
"Oscar Ali",236,1,100.12,2,1,2,5
"Chen Martin",190,2,100.24,2,5,2,9
"Priya Martin",739,2,100.24,4,5,2,11
"Noah Martinez",636,1,100.68,4,3,2,9
"Clara Williams",894,1,101.04,5,4,2,11
"Liam Kim",564,1,101.1,4,2,2,8
"Jamal Zhang",1047,1,101.46,5,4,2,11
"Nadia Rodriguez",237,1,101.79,2,1,2,5
"Priya Park",998,1,101.8,5,4,2,11
"Wei Hassan",756,1,102.21,4,3,2,9
"Sakura Nilsson",112,1,102.78,1,1,2,4
"Priya Williams",613,1,103.57,4,3,2,9
"Amina Wang",491,1,103.74,3,2,2,7
"Ali Oliveira",534,1,103.77,3,2,2,7
"Karen Ali",461,1,104,3,2,2,7
"Linda Thompson",420,1,104.2,3,2,2,7
"Giulia Li",432,1,104.5,3,2,2,7
"Oscar Taylor",1009,1,104.51,5,4,2,11
"William Romano",473,1,104.65,3,2,2,7
"Wei Wang",418,1,105,3,2,2,7
"Clara Taylor",1094,1,105.16,5,4,2,11
"Wei Fischer",756,2,105.23,4,5,2,11
"Mia Clark",715,2,105.52,4,5,2,11
"Felix Ahmed",545,1,105.62,3,2,2,7
"Chen Ali",173,1,105.71,2,1,2,5
"Ahmed Dubois",23,3,105.73,1,5,2,8
"Omar Leroy",1013,1,105.78,5,4,2,11
"Marco Davis",330,1,105.83,2,2,2,6
"Lucas Williams",584,1,106.47,4,3,2,9
"Ali Hassan",417,1,106.82,3,2,2,7
"Hans Kumar",256,2,107.59,2,5,2,9
"William Martinez",172,2,107.88,2,5,2,9
"Susan Laurent",104,1,108.22,1,1,2,4
"Priya Ali",900,1,108.6,5,4,2,11
"Amina Thomas",499,1,108.66,3,2,2,7
"Mary Clark",372,2,108.73,3,5,2,10
"William Clark",663,2,108.74,4,5,2,11
"Marco Moreau",1084,1,109.03,5,4,2,11
"Layla Ferrari",243,1,109.08,2,1,2,5
"Carlos Robinson",613,1,109.09,4,3,2,9
"Elizabeth Martin",838,1,109.35,5,3,2,10
"Michael Smith",81,1,109.38,1,1,2,4
"Yuki Robinson",152,1,109.42,1,1,2,4
"Ingrid Laurent",489,1,109.65,3,2,2,7
"Ingrid Davis",233,2,109.72,2,5,2,9
"Ava Garcia",756,1,109.76,4,3,2,9
"Wei Laurent",170,1,109.84,2,1,2,5
"Barbara Leroy",1023,1,109.88,5,4,2,11
"Elizabeth Zhang",101,1,110.16,1,1,2,4
"Sakura Ali",845,1,110.27,5,3,2,10
"Giulia Williams",752,1,110.59,4,3,2,9
"Ahmed Santos",620,1,111.55,4,3,2,9
"Hans Martin",759,1,111.88,4,3,2,9
"Carlos Santos",822,1,112.12,5,3,2,10
"Clara Garcia",272,2,112.22,2,5,2,9
"Hans Schmidt",551,1,112.4,3,2,3,8
"Patricia Chen",945,1,112.42,5,4,3,12
"Sakura Jones",523,2,112.76,3,5,3,11
"Layla Ahmed",364,1,113.35,3,2,3,8
"Yuki Miller",93,1,113.45,1,1,3,5
"Oscar Kim",604,2,113.59,4,5,3,12
"Olga Pereira",698,2,114.12,4,5,3,12
"Christopher Tanaka",248,1,114.37,2,1,3,6
"Linda Zhang",67,1,114.6,1,1,3,5
"Hans Laurent",99,2,114.77,1,4,3,8
"Ali Kim",126,1,115.14,1,1,3,5
"Ivan Nilsson",134,1,115.23,1,1,3,5
"Jessica Weber",806,1,115.26,4,3,3,10
"Yuki Sharma",448,1,115.27,3,2,3,8
"Elizabeth Sharma",664,1,115.4,4,3,3,10
"Raj Sato",161,2,115.48,1,5,3,9
"Mary Oliveira",511,1,115.85,3,2,3,8
"Priya Romano",267,1,116.2,2,2,3,7
"Liam Pereira",867,1,116.33,5,3,3,11
"Felix Romano",411,2,116.72,3,5,3,11
"Kenji Romano",625,3,116.81,4,5,3,12
"Layla Chen",216,1,117.56,2,1,3,6
"Sarah Tanaka",238,2,117.78,2,5,3,10
"Omar Dubois",455,2,117.78,3,5,3,11
"Jessica Martin",613,1,118.18,4,3,3,10
"Sophie Sato",148,1,118.42,1,1,3,5
"Sophie Weber",580,1,118.7,4,3,3,10
"Jessica Garcia",84,2,118.78,1,4,3,8
"Sophie Brown",844,1,118.94,5,3,3,11
"Felix Schmidt",494,1,119.17,3,2,3,8
"Felix Patel",205,1,120.16,2,1,3,6
"Christopher Harris",244,2,120.18,2,5,3,10
"Maria Martinez",997,1,120.23,5,4,3,12
"Clara Martinez",191,1,120.43,2,1,3,6
"David Leroy",740,1,120.46,4,3,3,10
"Fatima Brown",791,1,120.63,4,3,3,10
"Chen Johnson",892,1,120.72,5,4,3,12
"Emma Anderson",281,1,120.94,2,2,3,7
"Amir Anderson",461,1,120.95,3,2,3,8
"Xiao Davis",8,1,121.12,1,1,3,5
"Oscar Johnson",906,1,121.18,5,4,3,12
"Christopher Taylor",966,1,121.2,5,4,3,12
"Mia Ali",466,2,121.33,3,5,3,11
"Linda Fischer",479,1,121.36,3,2,3,8
"Christopher Jackson",355,1,121.72,3,2,3,8
"Sakura Chen",276,1,122.02,2,2,3,7
"Isabella Harris",767,1,122.35,4,3,3,10
"Mia Müller",1044,1,122.43,5,4,3,12
"Ali Müller",266,1,122.8,2,2,3,7
"Raj Pereira",246,1,123.1,2,1,3,6
"Fatima Jackson",925,1,123.73,5,4,3,12
"Maria Rossi",548,1,123.84,3,2,3,8
"John Robinson",670,2,123.86,4,5,3,12
"Kenji White",710,1,123.9,4,3,3,10
"Jennifer Yamamoto",460,1,123.94,3,2,3,8
"Emma Martinez",825,1,124.47,5,3,3,11
"Layla Park",39,2,124.49,1,4,3,8
"Robert Thomas",144,1,125.54,1,1,3,5
"Hans Park",488,1,125.56,3,2,3,8
"Fatima Zhang",95,2,125.88,1,4,3,8
"Richard Jackson",360,2,126.09,3,5,3,11
"Maria Thomas",467,1,126.2,3,2,3,8
"Susan Weber",25,2,126.5,1,4,3,8
"Marco Nilsson",827,1,126.55,5,3,3,11
"Olga Thompson",597,2,126.73,4,5,3,12
"Pierre Ahmed",367,1,126.94,3,2,3,8
"Linda Martin",750,1,127.12,4,3,3,10
"Elizabeth Park",182,1,127.22,2,1,3,6
"Hanna Robinson",593,1,127.58,4,3,3,10
"Giulia Brown",431,2,127.95,3,5,3,11
"Sakura Martinez",1077,1,128.02,5,4,3,12
"Wei Zhang",89,1,128.36,1,1,3,5
"Mia Sharma",595,2,128.52,4,5,3,12
"Yuki Costa",366,2,128.6,3,5,3,11
"Sarah Brown",274,1,128.97,2,2,3,7
"Priya Jones",539,2,129.34,3,5,3,11
"Susan Harris",192,1,130.4,2,1,3,6
"Ivan Laurent",157,1,130.52,1,1,3,5
"Richard Harris",1003,1,130.71,5,4,3,12
"Olivia Kumar",962,1,131.73,5,4,3,12
"Richard Weber",262,1,131.94,2,1,3,6
"Amina Jones",757,1,132.12,4,3,3,10
"Jennifer White",158,1,132.41,1,1,3,5
"Isabella Ferrari",473,1,133.15,3,2,3,8
"Ethan Rodriguez",860,1,133.27,5,3,3,11
"Ahmed Anderson",494,1,133.68,3,2,3,8
"Christopher Chen",178,2,133.74,2,5,3,10
"Omar Jackson",447,1,133.88,3,2,3,8
"Priya Singh",330,1,133.95,2,2,3,7
"Sophie Yamamoto",957,1,134.2,5,4,3,12
"Hanna Santos",843,1,134.94,5,3,3,11
"Nadia Rossi",758,1,135,4,3,3,10
"James Kumar",712,1,135.09,4,3,3,10
"Sakura Zhang",285,1,135.82,2,2,3,7
"Yuki Johnson",583,1,135.89,4,3,3,10
"Wei Ali",389,1,136.29,3,2,3,8
"Emma Nilsson",584,1,136.65,4,3,3,10
"Ivan Thomas",478,1,136.8,3,2,3,8
"Li Rossi",429,2,136.9,3,5,3,11
"Emma Oliveira",1056,1,137.97,5,4,3,12
"Ethan Thomas",171,1,138.21,2,1,3,6
"Pierre Pereira",252,1,138.49,2,1,3,6
"Patricia Costa",374,1,138.6,3,2,3,8
"Olivia White",287,1,138.68,2,2,3,7
"Hans Kim",1056,1,138.69,5,4,3,12
"Pierre Hassan",409,1,138.81,3,2,3,8
"Amir Taylor",313,1,138.89,2,2,3,7
"Ali Sato",560,1,139.56,3,2,3,8
"Jessica Taylor",444,1,139.66,3,2,3,8
"Ethan Chen",95,2,140.31,1,4,3,8
"Wei Romano",939,1,140.33,5,4,3,12
"Sakura Ahmed",422,1,141.35,3,2,3,8
"Sakura Müller",558,1,141.5,3,2,3,8
"Clara Rodriguez",705,1,141.77,4,3,3,10
"Oscar Anderson",399,2,141.77,3,5,3,11
"Amina Nilsson",116,1,142.31,1,1,3,5
"Mia Chen",464,1,142.41,3,2,3,8
"Oscar Martin",26,2,142.57,1,4,3,8
"Omar Li",822,1,143.33,5,3,3,11
"Robert Jackson",961,1,143.37,5,4,3,12
"Hanna White",541,1,143.57,3,2,3,8
"Noah Dubois",483,1,143.71,3,2,3,8
"James Chen",1030,1,143.71,5,4,3,12
"Xiao Taylor",926,1,143.72,5,4,3,12
"Yuki Rodriguez",848,1,144.72,5,3,3,11
"Robert Khan",82,3,144.81,1,5,3,9
"Jessica Schmidt",316,1,145.1,2,2,3,7
"Jessica Tanaka",830,1,145.22,5,3,3,11
"Noah Suzuki",327,1,145.48,2,2,3,7
"Barbara Weber",230,2,145.51,2,5,3,10
"Lucas Oliveira",828,1,146,5,3,3,11
"Fatima Costa",897,1,146,5,4,3,12
"Li Wang",80,2,146.5,1,4,3,8
"Amina Clark",540,2,146.91,3,5,3,11
"Thomas Zhang",233,1,147.53,2,1,3,6
"Hans Yamamoto",938,1,147.71,5,4,3,12
"Barbara Williams",13,1,147.96,1,1,3,5
"Ava Harris",600,1,148.04,4,3,3,10
"Zara Müller",711,1,148.25,4,3,3,10
"Chen Smith",943,1,148.31,5,4,3,12
"Layla Kumar",622,1,148.32,4,3,3,10
"Olivia Johnson",458,1,148.51,3,2,3,8
"Linda Santos",474,1,148.65,3,2,3,8
"Wei Patel",464,2,149.18,3,5,3,11
"Sarah Miller",465,1,149.36,3,2,3,8
"Giulia Nilsson",653,1,149.59,4,3,3,10
"Patricia Wang",285,1,149.72,2,2,3,7
"Isabella Davis",334,1,150.02,2,2,3,7
"Nadia Oliveira",361,1,150.65,3,2,3,8
"Maria Ahmed",94,1,150.7,1,1,3,5
"Ahmed Sharma",379,2,150.87,3,5,3,11
"Maria Khan",719,1,151.34,4,3,3,10
"Michael Taylor",630,1,151.42,4,3,3,10
"Carlos Thomas",9,2,151.44,1,4,3,8
"David Smith",233,3,151.6,2,5,3,10
"Omar Fischer",618,1,151.73,4,3,3,10
"Robert Schmidt",631,1,151.76,4,3,3,10
"Mary Weber",259,3,151.8,2,5,3,10
"Maria Schmidt",997,1,152.16,5,4,3,12
"Michael Garcia",667,1,152.19,4,3,3,10
"Sophie Harris",913,2,152.9,5,5,3,13
"Marco Harris",915,1,154.06,5,4,3,12
"Lucas Rodriguez",687,1,154.2,4,3,3,10
"Ivan Dubois",718,1,154.2,4,3,3,10
"Ali Li",798,1,154.26,4,3,3,10
"Jennifer Tanaka",678,1,154.68,4,3,3,10
"Susan Kumar",581,1,154.78,4,3,3,10
"Maria Suzuki",1,2,154.95,1,4,3,8
"Ivan Ali",381,1,155.08,3,2,3,8
"Patricia Leroy",237,1,155.47,2,1,3,6
"Wei Thompson",125,2,155.52,1,4,3,8
"Zara Clark",472,1,155.86,3,2,3,8
"Clara Leroy",525,1,156.1,3,2,3,8
"Ivan Ahmed",541,1,156.11,3,2,3,8
"Isabella Jones",463,1,156.7,3,2,3,8
"Olivia Leroy",54,1,157.57,1,1,3,5
"Wei Jones",654,1,158.15,4,3,3,10
"Jennifer Thomas",302,1,158.63,2,2,3,7
"Maria Anderson",603,1,158.64,4,3,3,10
"Susan Hassan",633,1,158.98,4,3,3,10
"Michael Ferrari",447,4,159.15,3,5,3,11
"Chen Laurent",1071,1,159.19,5,4,3,12
"Isabella Russo",203,1,159.47,2,1,3,6
"Chen Nilsson",760,1,159.64,4,3,3,10
"James Santos",92,1,159.96,1,1,3,5
"Jamal Ahmed",877,1,159.98,5,4,3,12
"Jennifer Oliveira",2,1,160.11,1,1,3,5
"Jennifer Kim",784,1,160.41,4,3,3,10
"Isabella Thompson",274,1,160.72,2,2,3,7
"Ayumi Garcia",800,2,160.88,4,5,3,12
"Sakura Rodriguez",635,3,161.3,4,5,3,12
"Omar Thomas",269,2,161.42,2,5,3,10
"Priya Martinez",907,2,161.57,5,5,3,13
"Robert Tanaka",104,1,161.92,1,1,3,5
"Ahmed Hassan",264,1,162.03,2,1,3,6
"Ava Oliveira",217,1,162.05,2,1,3,6
"Priya Weber",523,2,162.66,3,5,3,11
"Xiao Romano",30,2,163.21,1,4,3,8
"Hanna Thomas",433,1,164.85,3,2,3,8
"Isabella Jackson",315,2,165.99,2,5,3,10
"Oscar Müller",150,1,166,1,1,3,5
"Olivia Sato",664,1,167.02,4,3,3,10
"Susan Johansson",1069,1,167.34,5,4,3,12
"Raj Yamamoto",314,1,167.77,2,2,3,7
"Ivan Patel",201,2,168.16,2,5,3,10
"Ayumi White",181,2,168.16,2,5,3,10
"Olga Anderson",631,1,169.04,4,3,3,10
"Sarah Robinson",600,2,169.34,4,5,3,12
"Li Taylor",991,1,169.97,5,4,3,12
"Sophie Sharma",115,1,170.05,1,1,3,5
"David Nilsson",169,1,170.26,2,1,3,6
"Amir Yamamoto",179,2,170.37,2,5,3,10
"Michael Nilsson",346,1,171.83,2,2,3,7
"Priya Harris",74,1,172.08,1,1,3,5
"Ingrid Robinson",250,1,172.2,2,1,3,6
"Priya Johansson",735,1,172.7,4,3,3,10
"Christopher Martinez",341,1,173.45,2,2,3,7
"Priya Patel",265,1,174.05,2,1,3,6
"Ava Jones",1058,1,174.28,5,4,3,12
"Hans Anderson",493,2,174.69,3,5,3,11
"Barbara Jones",1,2,175.85,1,4,3,8
"Sakura Rossi",93,1,176.58,1,1,3,5
"Isabella Patel",828,1,177.12,5,3,3,11
"Emma Jackson",783,1,177.94,4,3,3,10
"Diego Pereira",820,1,178.65,5,3,3,11
"Richard Rodriguez",711,1,178.7,4,3,3,10
"Omar Park",159,3,178.86,1,5,3,9
"Ahmed Russo",108,1,179.32,1,1,3,5
"Hans Chen",1061,1,179.48,5,4,3,12
"Layla Rodriguez",65,1,179.64,1,1,3,5
"Lucas Park",439,1,179.65,3,2,3,8
"Robert Taylor",199,2,180.36,2,5,3,10
"Li Harris",190,2,180.4,2,5,3,10
"Christopher Brown",510,2,180.93,3,5,3,11
"Sakura Costa",358,1,181.04,3,2,3,8
"Pierre Yamamoto",1015,1,181.74,5,4,3,12
"Olga Romano",571,1,182,4,3,3,10
"Carlos Anderson",1009,1,183.12,5,4,3,12
"Noah Leroy",710,1,183.4,4,3,3,10
"Raj Thompson",109,2,183.79,1,4,3,8
"Ivan Zhang",641,2,184.31,4,5,3,12
"Pierre Patel",482,1,184.73,3,2,3,8
"Sarah Zhang",1073,1,185.18,5,4,3,12
"Nadia Santos",386,2,185.58,3,5,3,11
"Elizabeth Taylor",177,2,185.6,2,5,3,10
"Mary Fischer",54,2,185.63,1,4,3,8
"Michael Rodriguez",880,1,185.96,5,4,3,12
"Liam Tanaka",708,1,186.41,4,3,3,10
"William Sharma",1064,1,186.5,5,4,3,12
"Layla Leroy",256,1,186.8,2,1,3,6
"Christopher Müller",482,1,187.47,3,2,3,8
"Priya Garcia",825,1,189.3,5,3,3,11
"Xiao Martin",473,1,189.41,3,2,3,8
"Joseph Wang",104,1,189.69,1,1,3,5
"Marco Martin",940,1,189.73,5,4,3,12
"Olivia Robinson",634,1,189.92,4,3,3,10
"Emma Kim",182,2,190.07,2,5,3,10
"Ava Yamamoto",217,2,192.3,2,5,3,10
"Barbara Dubois",562,1,192.38,4,2,3,9
"Clara Martin",172,1,192.45,2,1,3,6
"Lucas Romano",122,1,193.3,1,1,3,5
"David Thompson",900,1,193.41,5,4,3,12
"Layla Anderson",798,1,193.72,4,3,3,10
"Li White",987,1,194.11,5,4,3,12
"Maria Tanaka",813,2,195.09,4,5,3,12
"Chen Anderson",512,1,196.42,3,2,3,8
"Robert Clark",806,1,196.92,4,3,3,10
"Jamal Pereira",231,2,196.96,2,5,3,10
"Sophie Ahmed",356,1,197.61,3,2,3,8
"Chen Miller",929,1,197.88,5,4,3,12
"Diego Johansson",454,2,198.23,3,5,3,11
"Elizabeth Chen",476,1,198.36,3,2,3,8
"Christopher Schmidt",521,1,198.38,3,2,3,8
"Jennifer Leroy",264,1,198.4,2,1,3,6
"Elizabeth Dubois",754,1,198.4,4,3,3,10
"Kenji Leroy",942,1,198.83,5,4,3,12
"Carlos Wang",988,1,199.03,5,4,3,12
"Ahmed Zhang",287,1,199.3,2,2,3,7
"Sarah Johnson",76,2,199.39,1,4,3,8
"Priya Kumar",596,1,199.44,4,3,3,10
"Xiao Robinson",4,2,199.66,1,4,3,8
"Mia Smith",637,2,199.67,4,5,3,12
"James Clark",834,1,200.12,5,3,3,11
"Maria Moreau",330,1,201.15,2,2,3,7
"James Schmidt",879,1,202.05,5,4,3,12
"Lucas Schmidt",1049,1,202.61,5,4,3,12
"Carlos Thompson",561,1,203.59,3,2,3,8
"Priya Schmidt",513,2,203.6,3,5,3,11
"Robert Davis",239,1,204.96,2,1,3,6
"Olivia Anderson",79,3,205.2,1,5,3,9
"Noah Ferrari",418,1,205.27,3,2,3,8
"Jamal Clark",848,2,205.41,5,5,3,13
"John Zhang",691,1,205.44,4,3,3,10
"Fatima Yamamoto",238,2,205.45,2,5,3,10
"Kenji Sharma",617,1,205.58,4,3,3,10
"Sophie Park",1046,1,206.72,5,4,3,12
"Thomas Thompson",383,2,207.05,3,5,3,11
"Chen Romano",300,2,207.08,2,5,3,10
"Linda Khan",92,1,207.42,1,1,3,5
"Jennifer Santos",758,1,210.57,4,3,3,10
"Susan Kim",1025,1,210.93,5,4,3,12
"Olga Hassan",998,1,211.75,5,4,3,12
"Layla Yamamoto",37,1,212.76,1,1,3,5
"Karen Romano",50,2,213,1,4,3,8
"Sophie Jackson",278,1,215.05,2,2,3,7
"Wei Yamamoto",878,1,215.09,5,4,3,12
"Raj Thomas",974,1,215.52,5,4,3,12
"William Chen",136,3,216.18,1,5,4,10
"Priya Brown",222,2,216.8,2,5,4,11
"Mia Li",386,1,217.06,3,2,4,9
"Ethan Khan",768,1,217.19,4,3,4,11
"Robert Sharma",945,1,217.35,5,4,4,13
"Wei Martinez",607,1,217.59,4,3,4,11
"Robert Leroy",120,2,217.86,1,4,4,9
"Jamal Sharma",501,1,219.01,3,2,4,9
"Noah Müller",655,1,219.07,4,3,4,11
"Amir Ali",263,2,219.52,2,5,4,11
"Emma Romano",270,1,219.67,2,2,4,8
"Ethan Kumar",596,1,219.71,4,3,4,11
"Linda Harris",388,1,220.36,3,2,4,9
"James Suzuki",934,1,221.75,5,4,4,13
"Maria Ferrari",680,1,221.84,4,3,4,11
"Mia Wang",159,1,222.04,1,1,4,6
"Clara Romano",586,2,222.13,4,5,4,13
"Chen Johansson",728,1,222.26,4,3,4,11
"Joseph Russo",568,1,223.29,4,3,4,11
"Richard Brown",587,1,223.56,4,3,4,11
"Ethan Williams",485,1,224.52,3,2,4,9
"Amina Russo",586,1,224.54,4,3,4,11
"Sophie White",108,2,225.03,1,4,4,9
"Susan Schmidt",516,1,225.15,3,2,4,9
"Diego Jackson",964,1,225.25,5,4,4,13
"Giulia White",276,1,225.85,2,2,4,8
"Layla Li",618,1,227.49,4,3,4,11
"Jessica Wang",830,2,227.86,5,5,4,14
"Thomas Rodriguez",554,3,228.77,3,5,4,12
"Amir Smith",512,1,228.99,3,2,4,9
"Omar Hassan",856,1,229.28,5,3,4,12
"Robert Wang",325,1,229.95,2,2,4,8
"Clara Dubois",165,1,230.66,1,1,4,6
"Xiao Wang",833,1,231.96,5,3,4,12
"Olivia Kim",280,1,232.02,2,2,4,8
"Ali Taylor",288,1,232.53,2,2,4,8
"Elizabeth Wang",420,1,232.74,3,2,4,9
"Hanna Rodriguez",245,1,232.77,2,1,4,7
"Kenji Harris",9,1,235.66,1,1,4,6
"Hanna Park",162,1,235.68,1,1,4,6
"Christopher Thompson",814,1,235.92,4,3,4,11
"Fatima Martin",824,1,236.04,5,3,4,12
"Lucas Brown",232,2,236.81,2,5,4,11
"Chen Tanaka",79,2,236.85,1,4,4,9
"David Rodriguez",431,1,236.93,3,2,4,9
"Hanna Dubois",736,1,237.44,4,3,4,11
"John Suzuki",170,2,237.86,2,5,4,11
"Liam Smith",74,1,238.4,1,1,4,6
"Fatima Suzuki",1043,2,238.71,5,5,4,14
"Ali Patel",484,1,239.2,3,2,4,9
"Amir Rodriguez",345,1,239.7,2,2,4,8
"Sarah Harris",28,2,239.96,1,4,4,9
"Richard Santos",445,1,240.21,3,2,4,9
"Ahmed Thompson",909,1,240.97,5,4,4,13
"Hanna Williams",302,1,241.47,2,2,4,8
"Susan Ali",44,1,241.57,1,1,4,6
"Richard Zhang",289,1,242.53,2,2,4,8
"Jamal Brown",73,1,242.76,1,1,4,6
"Wei Anderson",257,1,242.96,2,1,4,7
"Noah Ali",737,1,243.22,4,3,4,11
"Li Smith",160,1,243.95,1,1,4,6
"Ava Miller",431,1,244.2,3,2,4,9
"Karen Hassan",245,2,244.53,2,5,4,11
"Christopher Robinson",935,1,245.08,5,4,4,13
"Elizabeth Fischer",11,2,245.22,1,4,4,9
"Susan Yamamoto",54,1,245.38,1,1,4,6
"Linda Brown",877,1,246.19,5,4,4,13
"Karen Russo",870,1,246.69,5,4,4,13
"Olivia Miller",719,1,247.06,4,3,4,11
"Ahmed Jackson",275,2,247.54,2,5,4,11
"Thomas Johnson",439,1,248.51,3,2,4,9
"Susan Li",674,1,250.72,4,3,4,11
"Wei Moreau",271,2,251.06,2,5,4,11
"Emma Dubois",304,2,251.33,2,5,4,11
"Ayumi Taylor",380,1,251.52,3,2,4,9
"Linda Hassan",161,1,251.68,1,1,4,6
"William Wang",266,1,251.86,2,2,4,8
"Noah Nilsson",225,1,253.14,2,1,4,7
"Kenji Moreau",84,2,253.37,1,4,4,9
"Giulia Rodriguez",340,1,253.6,2,2,4,8
"Linda Johnson",210,1,254.07,2,1,4,7
"Lucas Laurent",501,1,254.28,3,2,4,9
"Sarah Davis",376,3,254.4,3,5,4,12
"Omar Patel",242,1,255.07,2,1,4,7
"Isabella Johansson",472,2,256.55,3,5,4,12
"Chen Santos",248,2,256.72,2,5,4,11
"Mary Khan",143,3,256.84,1,5,4,10
"David Suzuki",482,1,257.67,3,2,4,9
"James Miller",265,1,258.03,2,1,4,7
"Thomas Costa",234,2,258.74,2,5,4,11
"Ali Yamamoto",64,2,260.69,1,4,4,9
"Chen Chen",100,1,260.89,1,1,4,6
"Layla Fischer",833,1,260.91,5,3,4,12
"Ethan Li",313,2,261.18,2,5,4,11
"Mia Brown",209,1,262,2,1,4,7
"Raj Rossi",34,2,262.03,1,4,4,9
"Li Pereira",205,2,263.62,2,5,4,11
"Ava Ferrari",1003,1,264.38,5,4,4,13
"Kenji Johnson",14,1,264.5,1,1,4,6
"William Ahmed",722,1,264.98,4,3,4,11
"Jennifer Ferrari",188,2,265.12,2,5,4,11
"Mia Weber",332,2,266.43,2,5,4,11
"Sophie Chen",195,2,266.6,2,5,4,11
"William Nilsson",1004,1,268.98,5,4,4,13
"Zara Rodriguez",939,2,269.25,5,5,4,14
"Yuki Martin",693,1,269.56,4,3,4,11
"Chen Thompson",702,2,270.46,4,5,4,13
"Olivia Jones",460,1,270.47,3,2,4,9
"Pierre Rodriguez",535,1,270.49,3,2,4,9
"Giulia Ali",1037,1,270.58,5,4,4,13
"William Kim",714,2,271.07,4,5,4,13
"Patricia Jackson",188,2,271.78,2,5,4,11
"Kenji Zhang",1051,1,271.99,5,4,4,13
"Jennifer Harris",245,2,272.51,2,5,4,11
"Ali Weber",737,1,273.55,4,3,4,11
"Giulia Taylor",292,2,274.26,2,5,4,11
"Thomas Patel",1022,1,275.31,5,4,4,13
"Felix Park",1015,1,275.32,5,4,4,13
"William Sato",45,1,278.17,1,1,4,6
"Ava Rossi",88,2,278.23,1,4,4,9
"Noah Rodriguez",145,1,279.54,1,1,4,6
"Mary Martin",854,1,280.22,5,3,4,12
"James Patel",330,1,281.28,2,2,4,8
"Oscar Thompson",280,3,281.66,2,5,4,11
"Ali Jones",524,2,281.8,3,5,4,12
"Christopher Williams",863,1,286.17,5,3,4,12
"Fatima Johnson",121,1,286.32,1,1,4,6
"Christopher Park",170,2,286.33,2,5,4,11
"Clara Oliveira",988,1,291.24,5,4,4,13
"Jamal Taylor",164,2,291.54,1,5,4,10
"Linda Suzuki",562,1,291.84,4,2,4,10
"Barbara Robinson",156,1,291.9,1,1,4,6
"Noah Jones",16,2,292.3,1,4,4,9
"Diego Williams",44,1,292.5,1,1,4,6
"Mia Harris",156,3,293.68,1,5,4,10
"Amir Hassan",571,2,293.97,4,5,4,13
"Michael Ali",852,1,294.15,5,3,4,12
"Patricia Kim",220,2,296.9,2,5,4,11
"Clara Jackson",959,1,297.23,5,4,4,13
"Noah Chen",205,2,297.26,2,5,4,11
"Patricia Müller",954,2,298.36,5,5,4,14
"James Wang",659,1,298.56,4,3,4,11
"Mia Santos",162,3,301.37,1,5,4,10
"Kenji Williams",138,1,301.48,1,1,4,6
"Thomas Brown",212,1,303.33,2,1,4,7
"Elizabeth Sato",889,1,303.6,5,4,4,13
"Ava Clark",197,3,306.87,2,5,4,11
"Emma Miller",63,1,306.95,1,1,4,6
"Layla Sharma",97,1,308.12,1,1,4,6
"Zara Oliveira",91,1,308.79,1,1,4,6
"Felix Costa",885,1,308.8,5,4,4,13
"Susan Russo",1,1,310.97,1,1,4,6
"Yuki Kim",7,2,311.13,1,4,4,9
"Wei Müller",259,3,311.89,2,5,4,11
"Richard Kumar",633,1,313.19,4,3,4,11
"John Johansson",1095,1,313.38,5,4,4,13
"Zara Anderson",505,1,313.98,3,2,4,9
"Zara Harris",472,1,314.5,3,2,4,9
"Barbara Nilsson",620,1,314.72,4,3,4,11
"Michael Tanaka",249,2,315.68,2,5,4,11
"Liam Martin",43,1,320.17,1,1,4,6
"Jennifer Garcia",869,2,320.63,5,5,4,14
"Emma Wang",126,2,321.68,1,4,4,9
"Oscar Santos",945,1,322.01,5,4,4,13
"Maria Weber",81,2,322.22,1,4,4,9
"William Robinson",159,2,322.89,1,5,4,10
"Maria Costa",478,3,326.76,3,5,4,12
"Maria Johnson",441,1,327.46,3,2,4,9
"Pierre Wang",72,2,327.82,1,4,4,9
"David Park",265,1,329.91,2,1,4,7
"Wei Johnson",626,1,331.83,4,3,4,11
"Mia Tanaka",21,1,332.84,1,1,4,6
"Layla Patel",449,1,334.09,3,2,4,9
"Kenji Martin",272,3,334.58,2,5,4,11
"Jamal Rossi",62,2,334.7,1,4,4,9
"Carlos Smith",1013,1,335.28,5,4,4,13
"Linda Patel",523,1,335.32,3,2,4,9
"Sophie Pereira",406,1,336.43,3,2,4,9
"Marco Sato",52,2,336.79,1,4,4,9
"Elizabeth Ahmed",1030,1,336.94,5,4,4,13
"Amina Taylor",197,3,338.36,2,5,4,11
"Wei Sharma",138,1,338.72,1,1,4,6
"Isabella Johnson",743,1,340.88,4,3,4,11
"Priya Laurent",694,1,342.15,4,3,4,11
"Yuki Ferrari",697,1,343.07,4,3,4,11
"Nadia Robinson",370,1,343.63,3,2,4,9
